"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,35507003503508;22,8391167933759;22,8391167933759
"facteur 2";0,332909539064421;21,4136905232515;44,2528073166274
"facteur 3";0,284081154321947;18,2729096295467;62,525716946174
"facteur 4";0,241786928375103;15,5524244554318;78,0781414016058
"facteur 5";0,18111743690607;11,6499898235737;89,7281312251795
"facteur 6";0,159692375092591;10,2718687748205;100
