"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"action";0,426;1;1;1;0,001;1;1
"étude";1;0,355;1;1;1;0,257;0,257
"volonté";0,257;1;0,003;1;1;1;1
"vidéo";1;1;0,003;0,453;1;1;1
"tête";1;0,355;0,257;1;0,453;1;1
"servir";0,257;1;0,257;1;1;1;0,257
"récidive";1;1;0,257;0,02;1;1;1
"représenter";1;0,355;0,257;1;1;0,257;1
"remercier";1;1;1;0,02;0,453;1;1
"précaution";1;1;1;1;1;0;1
"proche";1;1;0,257;0,02;1;1;1
"porter";1;1;1;1;1;1;0
"objet";1;1;1;0;1;1;1
"mauvais";0,257;1;1;0,02;1;1;1
"liberté";1;0,355;1;0,453;1;0,257;1
"intéressant";1;0;1;1;1;1;1
"interdire";1;1;0,257;0,453;0,453;1;1
"image";1;1;1;0,02;1;0,257;1
"globalement";0,257;1;1;1;1;0,257;0,257
"fouiller";1;1;1;0;1;1;1
"estimer";0,257;0,355;1;1;1;0,257;1
"estd";1;1;0,257;0,453;0,453;1;1
"disposition";0,257;1;0,257;0,453;1;1;1
"discussion";0,003;1;1;1;1;1;0,257
"courageux";1;1;1;0,02;1;0,257;1
"campagne";1;0,355;1;1;0,453;1;0,257
"bout";1;1;0,257;1;1;0,003;1
"assassinat";1;1;0,257;0,02;1;1;1
"*videoid_6IOUEJN6GRI";1;1;0,001;0;1;1;1
"*idsegment_1";1;0,355;1;0,453;1;0,257;1
"*idsegment_2";1;0,555;0,426;1;1;0,426;0,426
"*idsegment_3";1;0,355;0,257;1;1;0,257;1
"*idsegment_4";0,588;1;1;0,875;0,875;0,588;0,588
"*idsegment_5";0,426;1;1;0,677;1;0,426;0,426
"*idsegment_6";0,426;1;1;0,677;0,677;1;0,426
"*idsegment_7";0,426;1;1;0,677;0,677;1;0,426
"*idsegment_8";0,257;0,355;1;0,453;1;1;1
"*idsegment_9";1;0,555;0,426;1;0,071;1;1
"*idsegment_10";1;0,355;0,257;1;0,453;1;1
"*idsegment_11";1;1;0,007;1;1;1;1
"*idsegment_12";1;1;1;0,028;1;1;1
"*idsegment_13";1;1;1;1;0,028;1;1
"*videoid_Ab_5e7jEoag";1;1;1;1;1;1;0
"*videoid_QA84_nDOREk";1;0,268;1;1;1;0;1
"*videoid_mjdbw7M0LRI";0,738;1;1;1;0;1;1
"*videoid_p6Pzs3iGwNk";0,001;0,005;1;1;1;1;1
