"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";-0,694632652258943;0,853419198178304;0,768234329366758;0,895420988587102;-1,93831953626999;-0,0159891973047772;-0,275436734691547;0,338399003422724;0,30462137717052;0,355053613544745;-0,768585240159457;-0,00634005942802266;0,117683300620426;0,166548791325919;0,115164936767809;0,133161226675049;0,467413701387337;2,80432234640132e-05;0,0655577924812864;0,0989552293379191;0,0801865176521764;0,10893525966055;0,510463482498896;3,47349962513124e-05;0,135866983372922;1,20657628591537;0,197798732279206
"classe 2";-1,30961922769015;0,173029814506858;0,158969496763356;-2,10977138070522;0,148144832323306;0,20085247045855;-0,52243954434087;0,0690258783141016;0,0634168693442512;-0,841640054982324;0,0590986426122894;0,0801250248373185;0,355553324153675;0,00581927336156261;0,00419151145836542;0,628353800987872;0,00232077967331932;0,0037613103652022;0,23547013241037;0,00411043350531696;0,00346955152515216;0,611105983651106;0,0030131361512803;0,00553860123658361;0,13729216152019;1,30872886905374;0,235150067472097
"classe 3";1,39802401904062;-0,024652332282493;-0,236129049982462;-0,224793354731398;-0,211030548243274;2,13929427233714;0,540811281084553;-0,00953650239326095;-0,0913441058830505;-0,0869590082114675;-0,0816350074026196;0,827564090660938;0,474952360540243;0,000138467874793084;0,01084046783579;0,00836192979285595;0,00552023643975688;0,500186537516562;0,2544062219673;7,91069222939696e-05;0,00725767142009496;0,00657756880703207;0,00579681068312055;0,59571634941631;0,130166270783848;1,20877820056469;0,190191761641782
"classe 4";1,36679451694708;0,170570941507057;-0,0856624263279232;-0,514943229686864;-0,158776953004474;-1,43790250033397;0,662019881080491;0,0826176524796975;-0,0414914082457312;-0,249417634804356;-0,07690512234504;-0,696461706916035;0,617646966743977;0,00901895389658611;0,00194107805987469;0,0596995912078273;0,00425162570927015;0,307441784382465;0,354988551364673;0,00552863583593425;0,00139440404453907;0,0503879391544586;0,00479052176824418;0,39288619486303;0,190023752969121;1,03631094011486;0,204074178546649
"classe 5";-0,23547993309392;0,947772388022587;0,725798869359174;0,876268006513378;1,70973907201641;0,0382088614038193;-0,103533716236084;0,416708108366878;0,319112771935146;0,385269699804657;0,751722822382878;0,0167993313158838;0,0166331726831395;0,252631563166555;0,126423632449751;0,156841141609034;0,447273535713755;0,0001969543777663;0,00898276599594382;0,145515877590893;0,0853365052628037;0,12438734259405;0,473545759517064;0,000236499633070646;0,161995249406176;1,08798615057055;0,191756022597228
"classe 6";-0,329136401523489;-2,34267023492112;0,670013641461158;0,5315383754503;0,114654709541108;-0,138232532373156;-0,130509637588935;-0,928918958628533;0,265674769250639;0,210766358335115;0,0454630497289639;-0,0548121618256614;0,018611067763604;0,884003516813506;0,0617042599728464;0,0330527426081465;0,0011519920835071;0,00147642075839111;0,0147185750361234;0,745652111763146;0,0609931724497843;0,038386912469755;0,0017860669321175;0,00259617797615227;0,135866983372922;1,43763051650652;0,280807367966445
"classe 7";-0,778165173042374;-0,0381827150967553;-2,64547680544326;0,744003632136261;0,0745258155715146;-0,165824460699224;-0,271877403787388;-0,0133403778653739;-0,924283674674942;0,259941954383223;0,0260380263145209;-0,0579361881271109;0,091771188069667;0,000207161288986449;0,848592309334101;0,0571257191940707;0,000429360897073352;0,00187426121609933;0,0658759607443038;0,000158605044496264;0,761362177645449;0,0602189936630482;0,00060422244927851;0,00299144187860198;0,108788598574822;1,53064904334894;0,254879338291805
