"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"1";"***";"";""
"**";"classe";"1";"**";"";""
"****";"60705";"60705";"100";"****";""
"*****";"*";"*";"*";"*";"*"
"*";"*";"*";"*";"*";"*"
