"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"dear";-0,0384755593448448;-0,754725995420148;0,111040626603666;0,124808950803596;-0,0497132202885023;-0,975160863328894;0,143472563500522;0,161262239482097;0,00380756099543006;0,961322165503776;0,0181984149474241;0,016671858553361;5,91232353465468e-06;0,0022749241701791;4,92438630536283e-05;6,22128034197567e-05;0,00399381834191398;0,290043112538842;0,000335979996494307
"speak";-0,339371672843353;0,556850454476812;0,467175412139317;0,70786280757894;-0,317214373595592;0,520494143259908;0,436673911170658;0,661647023207549;0,176541665300653;0,311879300056867;0,191976807845069;0,319602226797409;0,000458428328000966;0,00123423376993457;0,000868720805668081;0,00199442843184109;0,00398034088969155;0,375710237629854;0,000561857686355673
"hope";-0,418809234236249;0,266286265142586;0,605448257333769;-0,434074467864365;-0,467863620777729;0,297475905468479;0,676363343292361;-0,484916844282442;0,343461918683031;0,0911080980231146;0,411901081078932;0,15352890221492;0,000702096402604133;0,000283832278175498;0,00146729797185401;0,000754210776093216;0,00400280331006227;0,332413001982107;0,000442303376834506
"find";0,142712902477024;-0,304531582906398;0,292317831745167;-0,123994552144239;0,308550716810964;-0,658408851382402;0,632002257372059;-0,26808093228234;0,149042888321085;0,445310375118277;0,35882952359357;0,0468172129670701;8,17994799719422e-05;0,000372467809459391;0,000343190045518023;6,17489068507537e-05;0,0040162807622847;0,171952565273568;0,00011875212326262
"room";2,25239928940162;0,124537883944247;0,0907858942719987;0,0806984573998929;0,997030605608712;0,0551270294012334;0,0401866203619636;0,0357213892899421;0,996539636641728;0,00199903377424585;0,000929037696574452;0,000532291887445469;0,019167845728242;5,85983660650256e-05;3,11400491547959e-05;2,46044129827106e-05;0,00377817910635507;1,04954035653958;0,00416179637081143
"young";-0,398657349254332;-1,50186040508517;-1,75376913357904;0,0102874931739199;-0,170137784497147;-0,64095946662747;-0,748468316123429;0,00439046539569402;0,0466887880255725;0,434795999809968;0,518502274742629;1,29374218222846e-05;0,000581893765884569;0,00825854026270026;0,0112613122174187;3,87492476795467e-07;0,00366137452042733;0,858211883835347;0,00269670352573886
"leave";0,443311394224674;-0,524168074977793;0,807422116030913;0,113309345902731;0,41592096522782;-0,491781836710205;0,75753474920987;0,10630841690776;0,259865742115893;0,238388734781112;0,494681074411654;0,00706444869134082;0,000708956974474999;0,000991158760672877;0,00235181617736793;4,63162678182274e-05;0,0036074647115376;0,404515742889948;0,000590300223525265
"sir";0,0210916068106748;-0,71048352067815;0,288297581381264;-0,896109372069945;0,0178809272404452;-0,602329839201799;0,244411349146982;-0,759698709789814;0,000623474648444765;0,464216782813048;0,0668458168009315;0,468313925737578;1,51486902349087e-06;0,00171895208106084;0,000283033439967642;0,00273449913783564;0,00340530292820112;0,392917449773357;0,000525724703859897
"emma";-0,318146224230981;-0,194114944163968;0,0153679764150111;0,544037253631167;-0,482310894109098;-0,294278998614449;0,0232979110888021;0,824762559611588;0,406105629810849;0,0992011620297554;0,0005437654437296;0,494149442715657;0,000343765182863316;0,000127975337745501;8,02124372237374e-07;0,00100523041593187;0,00339631796005283;0,232224650428735;0,000183157613995263
"house";1,6434086510108;-0,14221602071449;0,0206657191905495;0,0501181856171373;0,995738962770449;-0,0861684845509897;0,0125213298463815;0,0303665373378987;0,994637348375007;0,00488746909241381;9,02542046827417e-05;0,000384928327890374;0,0087723506106139;6,56934225725125e-05;1,38715787310571e-06;8,15859780078268e-06;0,00324806598560608;0,766503666942665;0,00190832929480861
"elizabeth";-0,393438374016466;0,297710838771975;0,129984525580818;1,0438048268642;-0,338636652630394;0,256242930409501;0,111879083341768;0,898414074255874;0,228978772301415;0,0860289129856847;0,0143422691038931;0,670650045609007;0,000490262975079508;0,000280714570847511;5,35129595037672e-05;0,00345075610390407;0,00316720127227149;0,382454834240596;0,000463271915078445
"father";-0,347202632437558;-0,580576205649441;-0,623545972246824;-0,156921713647481;-0,37201535673598;-0,622066897191344;-0,668107484318695;-0,168136073371182;0,209620734179425;0,384591815744203;0,387969822753358;0,0178176273230054;0,0003660996053298;0,00102365051107766;0,00118078329041008;7,47823875248475e-05;0,00303691923412132;0,352749932957386;0,000377891498765346
"talk";0,0950252596648049;-0,410180529706274;0,606473014509505;0,369415884018509;0,115103481052961;-0,496849016733878;0,734616831155916;0,447471065659568;0,0233159567918471;0,285061488393383;0,544992900906946;0,146629653907822;2,70576771292151e-05;0,00050415312477304;0,00110213639207679;0,000408924856952895;0,00299648687745402;0,289476620355457;0,00025109575307296
"elinor";-0,718071985613498;1,41993798365498;0,860635770458755;3,14589889550631;-0,197873608662895;0,391281457197184;0,237158821200284;0,866891313703894;0,0807962479347647;0,207303833253676;0,0666019249685471;0,645297993843013;0,0015404377718525;0,00602347268339847;0,00221282452827316;0,0295663499797717;0,00298750190930573;1,17509624003212;0,0041252955168132
"walk";1,99868101866999;-0,610641594735272;0,812483881170383;0,0644935561519464;0,890999692527723;-0,272220263299355;0,362200311877817;0,0287508302548662;0,86467042246499;0,052960216027987;0,081994723492018;0,000374638015001943;0,0115573799135118;0,00107881053959325;0,00190986170701873;1,20338629865137e-05;0,00289315974374871;0,999814050804055;0,00289208388232961
