"";"";"";"";"gone";""
"109";"many";"0.0970432926729492";"-0.130032921374082";"0.839963857788254";"281"
"110";"sometimes";"-0.478151237197678";"0.415834944785244";"0.839125515615793";"282"
"111";"_you_";"-0.784838580297318";"-0.140327611941633";"0.838874877234335";"283"
"112";"everywhere";"0.689632759827486";"0.186359636885038";"0.836878412885484";"285"
"113";"best";"-0.1335480835255";"-0.245495165085861";"0.835668434492241";"287"
"114";"doing";"-0.355469822139681";"-0.106832049697066";"0.83529679827146";"288"
"115";"from";"0.0620543605320783";"0.156212461407351";"0.835270870163033";"289"
"116";"need";"-0.577186946160971";"-0.0151022429943093";"0.834017678255745";"290"
"117";"forth";"-0.00815276059252515";"0.716527279572238";"0.833525044195639";"291"
"118";"keep";"0.422320542328551";"0.11997690261667";"0.832643488509134";"292"
"119";"immediate";"-0.0461091256045927";"0.500007688617694";"0.832513847967001";"293"
"120";"little";"0.0381406853565357";"-0.0621910917422506";"0.832323708505205";"294"
"121";"_do_";"-0.829773922655237";"-0.21945313703526";"0.830456884698488";"296"
"122";"using";"-0.813820946152215";"0.348622571006759";"0.829488901983893";"297"
"123";"_us_";"0.0345834299740466";"0.487554129028939";"0.829488901983893";"298"
"124";"happens";"0.464737809295056";"0.139369076208792";"0.829324690630524";"300"
"125";"something";"0.0767863708540936";"0.282553593256965";"0.8292036927912";"301"
"126";"example";"-0.858834717519397";"0.111947527315158";"0.829004910626596";"302"
"127";"help";"0.136557854126241";"0.186729895922149";"0.828685130622667";"303"
"128";"aside";"-0.0725549724093498";"0.759855144784487";"0.826196032213711";"307"
"129";"only";"-0.0518647679286059";"0.0090920512779751";"0.826040463563151";"308"
