confidence;97
blush;95
yesterday;95
sound;94
scene;96
eager;95
angry;93
relation;95
quarter;95
fit;93
altogether;95
absolutely;95
shock;93
safe;93
recover;94
press;93
neighbourhood;93
james;94
generally;93
gain;94
amuse;91
affect;94
tear;92
proof;92
pound;93
merit;92
improve;92
bless;93
bed;92
arise;93
sentiment;92
mine;92
encourage;92
eldest;92
boy;92
assist;92
affair;92
harriet_s;90
tom;90
sink;88
randalls;87
belong;90
service;89
prospect;89
misery;88
guess;88
barton;88
note;88
longbourn;88
gratify;87
enjoy;88
due;88
direct;88
wear;86
rich;87
recollection;87
palmer;87
length;86
explain;87
excite;87
consent;87
complete;87
shake;86
parsonage;86
justice;86
confess;86
astonish;83
amusement;85
ah;86
profession;85
joy;83
dislike;83
comprehend;85
cheerful;85
card;83
suit;84
lord;84
astonishment;84
arm;76
trifle;83
term;83
motive;82
intention;83
indifference;83
income;83
finish;83
colour;83
vanity;81
sudden;82
propose;82
picture;80
improvement;82
choice;80
supply;81
period;81
lie;81
fortnight;77
exclaim;81
eleanor;80
connection;81
visitor;80
perry;78
fire;78
extraordinary;80
cease;80
beautiful;79
affectionate;79
spring;78
plain;77
neighbour;79
lively;79
glance;77
folly;77
fellow;79
emma_s;79
eat;78
dreadful;79
deep;77
conceal;79
venture;78
secret;77
quit;77
inquire;78
hill;76
design;78
consciousness;77
cole;78
uppercross;77
sigh;75
rain;76
partner;77
odd;76
occupy;77
intimacy;77
convey;77
connexion;77
capable;77
assurance;77
show;76
save;76
road;75
important;76
explanation;76
completely;76
whisper;75
unhappy;74
tire;74
necessity;75
intelligence;75
harville;75
susan;72
respectable;73
reproach;74
kitty;72
hundred;72
exertion;73
encouragement;73
painful;72
netherfield;73
leisure;73
kellynch;73
inform;73
garden;71
dr;71
deceive;71
conclude;73
abbey;71
treat;72
sensation;72
reserve;69
notion;72
expense;72
arrangement;72
teach;70
summer;69
solicitude;71
public;71
hall;71
forgive;69
fail;71
distinguish;71
constant;71
behave;71
apply;71
master;70
lucas;70
indifferent;69
estate;70
employ;70
die;68
delicacy;70
clever;70
benwick;68
advice;69
rejoice;69
prevail;69
prefer;69
music;69
justify;69
hard;69
fresh;68
felicity;69
croft;69
wholly;68
simple;67
ride;68
reasonable;68
possibility;68
overcome;68
elegant;67
dread;67
death;68
winter;67
wind;67
rate;67
nay;65
measure;67
lyme;67
ladyship;67
emotion;67
eagerly;67
disagreeable;66
direction;67
cross;66
considerable;67
connect;65
clay;65
advance;65
yates;65
naturally;66
moment_s;66
imagination;66
henrietta;64
grind;65
deny;66
civil;66
bow;65
scruple;65
relief;65
private;64
intimate;64
exercise;65
employment;64
elegance;64
education;65
earnest;65
couple;64
compare;62
charge;65
warmth;64
urge;63
strength;64
single;63
robert;64
probability;64
principle;64
piece;64
madam;64
likewise;64
evident;64
advise;63
suddenly;63
office;63
offend;63
nice;62
heaven;63
entreat;63
communication;63
clock;63
bestow;63
warmly;62
tenderness;62
tender;62
story;62
sacrifice;62
neglect;61
lover;62
liberty;62
greatly;61
grateful;62
gentle;62
fatigue;61
esteem;62
earnestly;62
desirable;61
cut;62
chair;62
alter;62
unite;61
totally;61
proposal;61
mark;61
inconvenience;61
fully;61
dwell;61
compassion;61
burst;60
request;60
provide;60
properly;60
parlour;60
paper;60
owe;60
mere;60
incline;60
hate;59
favourable;60
discover;60
confusion;59
comparison;60
circle;60
approve;60
unpleasant;59
suggest;59
steady;58
mistress;59
material;59
grieve;57
grave;58
goddard;58
endure;59
conjecture;57
composure;59
collect;59
build;57
approbation;59
touch;58
tolerably;58
success;58
severe;58
resentment;58
melancholy;57
indulgence;58
history;56
divide;57
decline;57
content;58
consolation;58
assistance;57
arrange;57
utmost;57
submit;57
sad;57
proud;51
propriety;57
nonsense;56
mortify;57
meryton;57
indulge;57
calm;57
start;56
report;56
remark;55
peace;56
pardon;56
language;56
interrupt;56
fortunate;55
entrance;56
contrary;56
communicate;56
campbell;55
box;55
addition;56
absent;55
tempt;55
sea;54
pretend;55
post;55
politeness;55
passage;55
nephew;53
miserable;55
impatient;55
frighten;55
friendly;55
frequently;55
follow;55
feature;54
entertain;55
apology;55
stair;54
spot;54
sotherton;54
removal;54
property;54
procure;54
principal;54
instance;54
induce;54
england;54
consult;54
agitate;54
youth;51
wise;51
soul;53
result;53
restore;52
readily;53
pemberley;53
officer;52
norland;53
maid;52
figure;52
check;53
blame;53
variety;51
unable;52
shut;52
render;51
possibly;52
hair;52
fast;51
domestic;52
description;52
wretched;50
village;51
shame;48
rouse;51
remembrance;51
possession;51
persuasion;51
numb;51
lay;51
impression;51
human;51
foresee;51
evidently;51
eagerness;51
church;51
cheerfulness;51
breed;51
witness;50
taylor;49
seldom;47
papa;49
oppose;50
heavy;50
ground;50
gown;50
frequent;50
foot;49
examine;50
establish;50
chief;50
busy;50
undoubtedly;49
sufficient;49
sleep;49
sentence;49
rosings;48
relieve;49
rational;49
rank;46
noise;49
interval;49
instrument;49
fashion;48
drink;48
donwell;48
courage;49
caution;49
announce;49
unwilling;48
tolerable;48
soften;48
separate;48
quitted;48
probable;48
portsmouth;47
patience;48
message;48
lessen;47
illness;48
fill;48
entreaty;48
clergyman;47
chuse;48
anger;47
wood;47
vex;47
talent;46
size;47
quietly;47
presently;47
learnt;47
kindly;47
infinitely;47
housekeeper;47
heartily;47
harm;47
expose;47
excessively;47
conscience;46
complexion;47
buy;45
apartment;47
accompany;47
selfish;45
parent;46
memory;46
luck;44
inferior;46
independence;45
humble;46
horror;46
happily;46
flatter;46
effort;46
chiefly;46
blind;46
betray;46
action;46
wonderful;43
source;45
resist;44
presence;45
lucky;44
intercourse;45
hastily;45
frederick;45
differently;45
conclusion;45
unfortunate;44
theatre;43
tall;42
struggle;44
sorrow;43
sick;44
regular;44
protest;44
lip;44
involve;44
injure;43
ignorance;44
guard;44
furniture;44
fetch;44
female;44
embarrassment;44
dixon;42
describe;43
confine;43
apprehension;44
alteration;44
wed;43
vexation;42
study;43
sing;40
separation;43
safely;43
promote;43
natured;42
mutual;43
instant;43
hurt;43
gradually;42
god;43
glow;43
gate;42
dignity;43
difficult;43
demand;43
court;41
beloved;43
aye;38
attack;43
unnecessary;42
triumph;41
shop;41
progress;42
preserve;42
introduction;42
guide;42
grove;41
free;42
contrive;42
chaise;42
attentive;41
animate;42
accomplish;42
uneasiness;41
tree;39
sincerely;41
shortly;41
ruin;41
pursue;41
personal;41
opposite;41
nurse;40
musgroves;41
ignorant;41
hertfordshire;41
experience;41
disgust;40
dependence;41
confirm;41
yield;40
water;40
thirty;40
sincere;40
school;40
remarkably;40
preparation;40
parish;39
opposition;40
offence;40
hearted;40
hang;40
gay;40
fate;39
error;40
distant;40
discourse;40
de;40
dark;39
daily;40
cure;39
conscious;40
compose;40
boast;40
benefit;40
attraction;40
wit;39
wild;39
valuable;38
utter;39
uneasy;39
uncomfortable;39
twelve;38
tranquillity;39
reflect;39
recommendation;39
pursuit;39
provoke;39
pianoforte;39
