"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";-0,747146610500149;-0,891157321671955;-1,22210450385377;0,0397976946916906;-0,442764706619201;-0,528106538310472;-0,724228330159456;0,0235844135095403;0,288185400860624;0,269018673926419;0,442455680242271;0,000340244970704992;0,145088034912626;0,206409031752542;0,388183102458394;0,000411657250920646;0,259908173625524;0,647397312134705;0,108933566166164
"classe 2";1,86697964035351;1,5527861028345;-1,45656725423924;-0,0350067230810268;0,659271050343651;0,548322489891154;-0,514345525169543;-0,0123616340510001;0,554531448222196;0,2517002467033;0,19368717805847;8,11270160440362e-05;0,386449961236992;0,267323645678896;0,235220510668417;0,000135867949898256;0,110870014465799;1,16621209462288;0,150788835200326
"classe 3";0,945903402469997;-0,923858082957201;0,913900634193616;0,00773178768564403;0,588492289038279;-0,574776828761058;0,568581817938005;0,00481031934297007;0,462612977190707;0,289566365596094;0,247807795475658;1,2861737544537e-05;0,249679912120259;0,23817740171557;0,23307086334741;1,66820672314572e-05;0,279055140749526;0,646902651820484;0,116779843888673
"classe 4";-0,801842919430344;0,859103884654718;0,620227929603105;-1,89745051617173;-0,346149294306233;0,370868403527516;0,267747528772412;-0,819114493921646;0,225902971067618;0,170156312257662;0,0775601704061767;0,526380546268539;0,100997609954119;0,115937482319971;0,0604275710567804;0,565553138532609;0,157084198136518;0,784746480589253;0,0967366965802473
"classe 5";-0,78103880424006;0,944246020295696;0,656030053124818;1,49904516426168;-0,382058145521457;0,461893674772281;0,320908031896164;0,733282920645636;0,256624433973814;0,246114080671564;0,10389461129578;0,393366874058837;0,117784481776003;0,172152438533022;0,0830979524689985;0,43388265419934;0,193082473022633;0,7171742016728;0,0993098143386135
