"video_id","playlist_id","publishedAt","title","channelTitle","description","position"
"6IOUEJN6GRI","PL-qBKb-rfbhhmFo0yCUq2KyhVKHpCX0aG","2025-12-12T13:20:02Z","Narcotrafic, fouilles XXL en prison...L'interview en intégralité de Gérald Darmanin","BFMTV","Gérald Darmanin, ministre de la Justice, était l'invité du Face à Face sur RMC et BFMTV ce vendredi 12 décembre. Il est notamment revenu sur les fouilles XXL en prison, les remises de peine ou encore le narcotrafic.",NA
"Ab_5e7jEoag","PL-qBKb-rfbhhmFo0yCUq2KyhVKHpCX0aG","2025-12-16T09:38:02Z","Mercosur, petits colis... L'interview en intégralité de Dominique Schelcher, PDG de Coopérative U","BFMTV","Dominique Schelcher, PDG de Coopérative U, était l'invité du Face à Face sur BFMTV et RMC ce mardi 16 décembre.",NA
"QA84_nDOREk","PL-qBKb-rfbhhmFo0yCUq2KyhVKHpCX0aG","2025-12-15T13:53:25Z","Attaque à Sydney, colère agricole... L'interview en intégralité de Marion Maréchal","BFMTV","Marion Maréchal, députée européenne et présidente d'Identité-Libertés, était l'invitée d'Apolline de Malherbe dans le ""Face à Face"" sur BFMTV.",NA
"p6Pzs3iGwNk","PL-qBKb-rfbhhmFo0yCUq2KyhVKHpCX0aG","2025-12-10T10:44:11Z","Échanges avec Nicolas Sarkozy, budget, maisons closes… L'interview intégrale de Sébastien Chenu","BFMTV","Sébastien Chenu, député RN du Nord et vice-président de l'Assemblée nationale, était l'invité du Face à face ce mercredi 10 décembre. Il est notamment revenu sur ses échanges avec Nicolas Sarkozy lors de sa détention, mais aussi sur le vote du budget à l'Assemblée nationale, ou encore la proposition du RN de rouvrir les maisons closes.",NA
"mjdbw7M0LRI","PL-qBKb-rfbhhmFo0yCUq2KyhVKHpCX0aG","2025-12-10T10:44:11Z","Budget, hôpitaux, propos de Brigitte Macron… L'interview intégrale d'Amélie de Montchalin","BFMTV","Amélie de Montchalain, ministre des Comptes publics, était l'invitée du Face ce mardi 9 décembre avant le vote du budget à l'Assemblée nationale dans l'après-midi.",NA
